AP1,AP2,AP3
-33,-35,-41
-35,-39,-40
-36,-47,-46
-34,-34,-42
-36,-39,-43
-44,-54,-41
-49,-38,-37
-54,-38,-44
-41,-27,-34
-46,-35,-36
-44,-33,-40
-46,-47,-40
-64,-33,-42
-52,-45,-35
-45,-46,-38
-53,-46,-35
-48,-41,-44
-57,-52,-38
-59,-42,-36
-57,-43,-40
-55,-51,-41
-55,-62,-49
-51,-43,-40
-62,-48,-54
-39,-33,-50
-51,-44,-57
-46,-37,-48
-57,-35,-54
-43,-44,-44
-52,-47,-53
-51,-46,-47
-47,-44,-59
-44,-46,-48
-45,-52,-49
-49,-42,-51
-45,-48,-52
-40,-35,-53
-45,-45,-59
-29,-47,-48
-43,-43,-49
-32,-41,-64
-29,-53,-51
