x,y
3.4503779040541547,2.993508550221938
2.94987196726631,2.5814195030050664
2.571613029139176,2.053675041694727
1.655513366784693,1.178491908015643
1.837795457405462,0.7036255742554981
1.3907407824974576,0.44290879951212786
1.1696725711398648,0.3180129730630307
0.7070438429495375,0.15706433931619598
0.050572580403634715,-0.41630231979916266
-0.37892007960012103,-0.6843941951068134
-0.8956893227353439,-1.0427490867725566
-4.059201599506004,-3.520794149305027
-8.68422946745881,-7.462881886193075
-12.057640587751644,-10.335357622502391
-12.353570480235541,-11.550676937149241
-13.117840521956293,-13.550568474910337
-9.973297492185875,-14.781609984257985
-10.916154115282458,-17.46699893444652
-11.932824425031543,-20.88252146294133
-11.106445921563353,-21.14353209276195
-8.821170954352482,-20.270472235493962
-7.165488177111249,-19.59159199130497
-5.729451632744765,-19.044572299298068
-8.268849833829156,-20.816008817302162
-11.056594965381702,-25.054894150019752
-12.829995283822534,-27.416143624789072
-13.682325833625889,-29.097055606493168
-17.678127475924978,-31.423910185979675
-22.241288957310562,-34.19684834709818
-23.066367417126013,-34.10875538253947
-24.23868917298396,-34.273724958871995
-28.20680130925932,-36.707907859114734
-32.8156527493067,-39.91474328556519
-33.659261250083055,-40.09933728580588
-36.27420266534971,-41.75050023343533
-43.669164700161005,-47.60625281219315
-49.1817846771466,-52.400881554650496
-56.77416200145058,-58.548113663598876
-61.75759033044599,-63.418396445517466
-65.86345626474969,-67.50470289953606
-69.35770988420776,-71.67677590230282
-71.86394609652231,-74.1749111100577
-75.72882035776759,-77.78707038549952
-82.31312471670319,-84.49703779849554
-83.91006520146453,-87.47594760359814
-81.97633245997878,-86.47612395005297
-78.26862475934168,-84.96920889278799
-73.84918653064838,-82.96373321521398
-71.47207398537051,-82.44947222130682
-68.08135512682075,-80.31735158977185
