x,y
3.8717955181968624,2.740520651202912
4.011508420745392,3.0488337349894845
3.772658086960264,3.032684936142117
4.174830544933483,2.990091851843598
3.9514213019191966,3.0004708179675146
3.9045075307069497,2.994222404705958
3.745146030925546,3.012177300863135
3.843781985931062,3.052224461002163
3.766472024512946,3.060147976336002
3.8245540678468615,3.025029133514576
3.761042504126283,3.0144934164533144
3.9530613596642676,3.005766305617931
3.882821130633914,3.0247764595770343
3.856618453149694,3.0188449198454057
3.7847963851378945,2.9051989808667917
3.7638880326729494,2.8827429494784327
3.70745813868039,2.886332940122765
3.7275610140112607,2.8712647734376695
3.7105046330628184,2.872288342731753
3.701769263950933,2.8635674391420194
