RuijieAP1,RuijieAP2,RuijieAP3
1.5131924993343406,1.8293427433528608,1.6296798964496786
2.122868422146195,2.2843581050199786,2.2010342748565623
2.621817642630869,2.8923192761268957,1.994054901092254
3.0198408784642448,3.8698532390370834,2.228688206540608
3.627668354453788,4.807838425122923,1.9334265994055027
3.961643064254519,4.966092000138575,2.188027620570946
4.322634305180514,5.649395685802801,1.9092710641083996
4.4342509860899,5.659169494214938,2.250618415768891
4.507431121587522,6.312636130451874,1.943911000345139
4.417985462645463,6.243629865342207,2.1963232557207277
4.636329904546039,6.723738611199642,1.9136414817780425
4.231991835885635,6.501607703514487,2.254082340143258
4.510113073175885,6.90074261157906,1.945780102587418
4.419665805175395,6.610931910407329,2.197697784768322
4.497924435973162,6.7888662669532325,1.9144020519298417
4.279237565833683,6.541949582673415,2.6041087765850746
4.405680350453799,6.92819268822128,2.1346360969745897
3.972406142006455,4.299626256163782,2.5065380817871867
5.045326918894049,3.825529978220806,2.082958701394962
4.60653821054094,3.36231097367791,2.2146791586945014
