RuijieAP1,RuijieAP2,RuijieAP3
1.227460613995167,1.8301795151028077,1.592005824116919
1.594014295147854,2.999382146965905,1.665352765009282
1.5359129311794102,3.599915724266449,2.207033541855455
1.8343925840321003,5.578085324776023,2.0213191343785706
1.8599534080204678,4.808493917882548,2.57735072179735
2.026663765925991,4.243312544289113,3.2170403014889746
2.1417912426944787,3.48472758339099,3.8740649056824124
2.9437988513381095,2.6542429041124462,4.969032841574132
2.721776781478673,2.5781908882906457,5.012394151294503
3.0196180908864516,2.457834686342494,4.6233435540159915
2.4962811748659863,2.839100298125527,4.204164869308976
2.3863148147705853,3.2065082528640825,4.406377720475771
1.9366318889496772,5.214095159660309,4.2563709284036975
2.4271810550928286,5.020771806302086,4.162805861171255
2.3437096587809862,6.558931786210439,5.204203683511139
1.8184625193061026,6.730063124696477,5.50895270062657
2.158108977943523,7.044610127758229,4.912247904118961
1.7246874664370346,7.689645053755831,4.563822086752421
1.655278767153399,7.031172886063132,5.764267651874726
1.5314456486743453,7.68022903941646,6.276121105219213
1.494826894294594,7.233451413528702,6.628295881360158
1.2294788058247512,6.194479177523948,7.647338577069541
1.1714896998760955,6.679516630673756,5.6827096555948735
1.0247793839054196,5.552411063541084,5.956111813911819
1.1851845938795682,8.580240263085464,6.987630678308436
1.0324513334694316,7.116259339906543,5.846899640540135
