x,y
3.7937250459881193,-0.39565912799529884
3.6212769216851264,-0.28873977948509166
3.5048601592895134,-0.15370859109432242
3.3856418285319902,0.0921728660905116
3.3437375692883955,0.24857790239581679
3.3532667007576356,0.39800816099626246
3.393246626318839,0.4962029552422455
3.4223254226851405,0.6473164516621918
3.452490680044607,0.7847804079235431
3.4781432932810263,0.9735894021258196
3.5216380194125545,1.0857402048305462
3.5338368294948754,1.3063218547889202
3.567311827134422,1.504362859493045
3.5584685201097073,1.638000628378792
3.532926390881014,1.840890344598315
3.494572302298062,2.053664551047004
3.399249125670611,2.203313095598158
3.3430553014064124,2.2659165259289322
3.2727531110608297,2.3727242674638593
3.237472136034503,2.6155390626398627
3.2221781972157797,2.7521829163520795
3.236655138925987,2.9500521826805652
3.2349249121311416,3.1249627419639396
3.3360324718196432,3.183490874526078
3.469420691966101,3.197424316331324
3.7395513095565986,2.8829071608069907
3.913413909716248,2.6975682742937206
4.152249803547775,2.2557351507893593
4.298804497224175,2.0687236958580533
4.348467709523481,2.041238449487689
4.375058172301536,2.032730354753682
4.382071332823944,2.0039610477410896
4.381571496842716,2.007321816504468
4.3465308082269045,1.9997338850798685
4.305349147394366,2.07044092738174
4.3159452993301555,1.9756830380092114
4.2507715982227765,1.934391146344396
4.116225069479551,2.0088687442505586
3.979864413497694,2.041692884865206
3.879983714657483,2.0491409514194276
3.7949669806920308,2.0159686975403543
3.613726856716131,2.0278125122729347
3.488122240590179,2.020538743902586
3.3112673474147947,2.067574692974871
3.1067169341719287,2.140448267216792
2.9292459578088947,2.2002613748629725
