x,y
-32.60573845489018,41.41727013462807
-32.62434373213319,41.34912392387566
-20.589234118142368,28.049062327047128
-13.490084209141585,20.114088952274177
-10.405052264082336,16.700111294117765
-7.37283187800091,13.056005644255155
-6.331854773117401,12.005889783637011
-4.994990062729297,10.614282688753343
-4.337386778376139,9.97142941528656
-3.368477470540966,8.9985855684916
-2.7507383036807664,8.355881535187242
-2.298546757811068,7.8806682945172
-2.235963842838559,7.80500851829135
-2.41014314386756,8.111193925324065
-2.351582148942649,8.029216448333719
-2.0974640728848657,7.767027877513125
-2.1515506181008,7.838657171543409
-1.8513154090854,7.427253096623852
-1.7928104753434457,7.358779825846592
-1.887104083301691,7.468775598289377
-1.78305437939105,7.28568895549887
-1.7129744294098712,7.236315201019113
-2.3615335182887094,8.00665000710233
-2.214544410060643,7.86511720785314
-2.6776795876933415,8.450720804538571
