AP1,AP2,AP3
-43,-42,-44
-38,-37,-38
-36,-40,-40
-36,-44,-39
-36,-30,-58
-48,-32,-41
-43,-25,-40
-46,-33,-42
-53,-31,-45
-50,-34,-39
-54,-28,-41
-48,-41,-39
-48,-33,-36
-56,-46,-35
-49,-39,-34
-47,-36,-34
-47,-40,-35
-52,-52,-38
-63,-49,-39
-66,-62,-50
-47,-30,-44
-58,-46,-49
-41,-35,-55
-46,-40,-48
-43,-41,-43
-54,-39,-44
-54,-36,-42
-48,-53,-51
-41,-49,-51
-51,-47,-54
-46,-44,-48
-51,-51,-60
-45,-35,-48
-46,-52,-56
-44,-39,-58
-56,-37,-46
-37,-46,-46
-48,-43,-41
-27,-43,-52
-34,-50,-58
-22,-46,-42
