error
2.33141071
2.38711762
2.52510513
2.84902075
2.59710719
2.32074955
2.00799363
1.76178370
1.46520799
1.25222746
0.99401608
0.87425641
0.79341239
0.79560680
0.83803183
0.88189657
0.96090227
1.18812847
1.41051243
2.01237835
2.07329777
2.11626001
2.03375679
1.96829568
1.97463028
1.93220989
1.83541181
1.92331524
2.12417157
2.28770916
2.42616603
2.58452753
2.55015271
2.64578629
2.55961350
2.42546606
2.44666429
2.51215409
2.58785532
2.71098620
2.92555097
