AP1,AP2,AP3
-46,-36,-43
-33,-39,-36
-42,-35,-46
-38,-39,-52
-44,-31,-49
-49,-26,-41
-59,-36,-36
-55,-29,-42
-49,-36,-45
-50,-28,-43
-55,-40,-37
-42,-36,-46
-55,-42,-35
-42,-27,-41
-53,-48,-32
-52,-31,-39
-48,-45,-34
-60,-32,-34
-52,-56,-52
-45,-37,-35
-58,-37,-33
-51,-32,-56
-56,-42,-50
-40,-33,-42
-57,-32,-53
-43,-38,-35
-40,-35,-41
-35,-50,-33
-43,-34,-46
-52,-42,-33
-39,-35,-48
-41,-25,-42
-40,-39,-49
-39,-38,-39
-44,-37,-50
-41,-40,-47
-39,-50,-42
-37,-49,-48
-37,-35,-47
-31,-37,-44
-37,-35,-46
-40,-41,-53
-37,-42,-44
-22,-42,-53
-47,-37,-59
-35,-41,-44
-40,-49,-44
