AP1,AP2,AP3
-34,-43,-54
-36,-39,-42
-33,-38,-37
-35,-41,-39
-31,-41,-39
-39,-34,-48
-45,-25,-35
-42,-30,-42
-42,-26,-39
-52,-34,-39
-48,-35,-39
-51,-35,-40
-53,-53,-35
-58,-44,-39
-49,-40,-38
-46,-41,-34
-59,-34,-44
-47,-39,-43
-52,-38,-48
-53,-45,-43
-52,-40,-49
-62,-40,-48
-37,-33,-49
-41,-36,-49
-36,-40,-48
-44,-36,-45
-51,-37,-40
-41,-37,-42
-37,-40,-56
-39,-41,-48
-38,-39,-45
-38,-36,-40
-38,-43,-47
-39,-41,-45
-32,-41,-62
-39,-40,-45
-36,-52,-56
-38,-46,-38
-26,-60,-45
-27,-40,-47
-29,-50,-42
