error
7.68590252
2.17978018
2.98574116
4.07213792
4.71902483
3.39688128
2.71770626
2.20046695
1.82811240
1.57734795
1.48449478
1.30772420
3.17466656
3.24914514
3.25973772
3.44090139
2.76535100
2.70100099
2.38357681
2.59270030
2.36076226
1.84079252
1.63637723
1.48397192
1.53408425
1.44901939
1.37704276
1.40200998
1.20244311
1.26063538
1.31204109
1.35400428
1.49518738
1.58498531
1.16749637
1.23140070
1.68316671
2.04454547
4.01854082
4.00162893
4.57389799
